Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
īsdʷam,man,iːsdʷam,noun,,,,
kʲōrvat,woman,kʲoːɾʋat,noun,,,,
ńtōkōr,person,n̩toːkoːɾ,noun,,,,
aksu,boy,aksu,noun,,,,
kŕti,girl,kɾ̩ti,noun,,,,
etūmś,child,etuːms̩,noun,,,,
kerra,head,kera,noun,,,,
vapsat,shoulder,ʋapsat,noun,,,,
ulēn,knee,uleːn,noun,,,,
ēmori,toe,eːmoɾi,noun,,,,
nāvnākʲ,hand,naːʋnaːkʲ,noun,,,,
inni,foot,inni,noun,,,,
kńlas,leg,kn̩las,noun,,,,
kʲete,arm,kʲete,noun,,,,
pśtī,eye,ps̩tiː,noun,,,,
mŕkʲa,ear,mɾ̩kʲa,noun,,,,
kʲundʷ,mouth,kʲundʷ,noun,,,,
toverē,nose,toʋeɾeː,noun,,,,
śkʲoru,cheek,s̩kʲoɾu,noun,,,,
nunēr,forehead,nuneːɾ,noun,,,,
nogʷedʷś,elbow,nogʷedʷs̩,noun,,,,
pekina,chin,pekina,noun,,,,
oksūm,lip,oksuːm,noun,,,,
pāsat,penis,paːsat,noun,,,,
elumū,vagina,elumuː,noun,,,,
ipas,butt,ipas,noun,,,,
ētamevŕ,game,eːtameʋɾ̩,noun,,,,
vńdʷo,wind,ʋn̩dʷo,noun,,,,
pśkēr,sight,ps̩keːɾ,noun,,,,
natōs,water,natoːs,noun,,,,
kŕvos,fire,kɾ̩ʋos,noun,,,,
mekʲrau,earth,mekʲɾau,noun,,,,
atrāvīdʷś,school,atɾaːʋiːdʷs̩,noun,,,,
auveinūs,student,auʋeinuːs,noun,,,,
tʲārri,language,tʲaːri,noun,,,,
seinru,tongue,seinɾu,noun,,,,
okautŕ,plains,okautɾ̩,noun,,,,
kʲōmsī,mountain,kʲoːmsiː,noun,,,,
arjēm,hair,aɾjeːm,noun,,,,
iuros,friend,iuɾos,noun,,,,
loje,way,loje,noun,,,,
ukāgʷŕ,semen,ukaːgʷɾ̩,noun,,,,
etūkʲĺrādʷam,pedophile,etuːkʲl̩ɾaːdʷam,noun,,,,
kʲodʷam,follower,kʲodʷam,noun,,,,
gʷśkʲun,thing,gʷs̩kʲun,noun,,,,
noito,card,noito,noun,,Use as a gift or transaction,,
alpa,baby,alpa,noun,,,,
irupa,song,iɾupa,noun,,,,
nōdʷe,savanna,noːdʷe,noun,,,,
rauvōtʲ,card,ɾauʋoːtʲ,noun,,"Use for play or games, or general information",,
tāvala,loan,taːʋala,noun,,,,
sēmros,payment,seːmɾos,noun,,,,
īlok,day,iːlok,noun,,,,
umūs,night,umuːs,noun,,,,
innimu,pedal,innimu,noun,,,,
vīnŕs,city,ʋiːnɾ̩s,noun,,,,
okʲios,travel,okʲios,noun,,,,
dʷi,I,dʷi,pronoun,,,,
mńte,you.s,mn̩te,pronoun,,,,
ārvi,it,aːɾʋi,pronoun,,,,
kodʷ,we,kodʷ,pronoun,,,,
serō,you.p,seɾoː,pronoun,,,,
intʲ,they,intʲ,pronoun,,,,
rēven,go,ɾeːʋen,verb,,,,
nōmen,speak,noːmen,verb,,,,
aken,do,aken,verb,,,,
tāmun,help,taːmun,verb,,,,
pasten,see,pasten,verb,,,,
sūgʷen,like,suːgʷen,verb,,,,
man,be,man,verb,,,,
sin,NEG,sin,particle,,,,
tumen,want,tumen,verb,,,,
jūnadʷen,lick,juːnadʷen,verb,,,,
vagʷen,give,ʋagʷen,verb,,,,
atroven,fill,atɾoʋen,verb,,,,
kʲĺrāsen,love,kʲl̩ɾaːsen,verb,,,,
ŕtēm,more,ɾ̩teːm,adjective,,,,
kʲopen,follow,kʲopen,verb,,,,
veren,have,ʋeɾen,verb,,,,
nundʷen,buy,nundʷen,verb,,,,
mśtan,deceive,ms̩tan,verb,,,,
arōlen,kick,aɾoːlen,verb,,,,
elkʲen,hate,elkʲen,verb,,,,
gʷŕgʷanen,listen,gʷɾ̩gʷanen,verb,,,,
sēmran,pay,seːmɾan,verb,,,,
taisen,choose,taisen,verb,,,,
ujālŕen,ride,ujaːlɾ̩en,verb,,,,
okʲin,travel,okʲin,verb,,,,
elōmen,know,eloːmen,verb,,,,
mārś,world,maːɾs̩,noun,,,,
